Accession_no	 Seq_length	 NumberofN	 Coll_Date	 Pub_Date	 
KF973481.1	10644	0	2011	2013	
EU677155.1	10690	0	2007	2008	
KM279520.1	10723	0	2011	2014	
EU482493.1	10690	0	2007	2008	
KJ189304.1	10447	0	2005	2014	
FJ024434.1	10690	0	2007	2008	
FJ639752.1	10648	0	2001	2009	
FJ547088.1	10690	0	2008	2008	
JN205310.1	10735	0	2002	2011	
FJ410207.1	10683	0	2007	2008	
FJ898441.1	10663	0	2006	2009	
KP188557.1	10425	0	2012	2014	
KF184975.1	10602	0	2013	2013	
EU726780.1	10690	0	2007	2008	
GQ199823.1	10675	0	2007	2009	
FM210208.1	10595	0	2003	2008	
JQ045651.1	10672	0	na	2011	
EU482455.1	10653	0	2006	2008	
KF672761.1	10176	0	1988	2013	
JQ045631.1	10697	0	na	2011	
GU131884.1	10665	0	2008	2009	
AY618989.1	10653	0	na	2004	
FM210209.1	10692	0	2003	2008	
GQ199833.1	10690	0	2004	2009	
EU482620.1	10680	0	2006	2008	
FJ882519.1	10690	0	2006	2009	
EU482600.1	10679	0	2005	2008	
FJ639702.1	10667	0	2003	2009	
KP188549.1	10783	1	2006	2014	
HM582101.1	10694	0	1971	2010	
GQ868612.1	10690	0	2006	2009	
EU687228.1	10678	0	2001	2008	
KC762670.1	10723	0	2007	2013	
FJ639784.1	10648	0	2003	2009	
FJ898471.1	10663	0	2002	2009	
KC131142.1	10673	0	2012	2012	
FJ410203.1	10686	0	2007	2008	
HM582114.1	10652	3	1974	2010	
FJ639766.1	10648	0	2001	2009	
FJ410229.1	10638	0	2007	2008	
JF920397.1	10676	0	2010	2011	
GQ199857.1	10690	0	2008	2009	
FM210234.2	10685	0	2004	2008	
GU131722.1	10486	0	2008	2009	
FJ410285.1	10690	0	2008	2008	
FJ850061.1	10690	0	2000	2009	
GQ199795.1	10690	0	2007	2009	
U87412.1	10723	0	na	1997	
EU660410.1	10653	0	2006	2008	
GQ199847.1	10690	0	2006	2009	
GQ868580.1	10598	0	2001	2009	
FJ461324.1	10690	0	2007	2008	
AF022439.1	10723	0	na	1997	
KM403606.1	10714	0	2013	2014	
EF051521.1	10723	0	2001	2006	
EU660418.1	10690	0	2007	2008	
JF920408.1	10681	0	2010	2011	
DQ672558.1	10735	0	na	2006	
GQ199789.1	10690	0	2007	2009	
EU660408.1	10653	0	2006	2008	
FJ850075.1	10683	0	2002	2009	
EU529705.1	10648	0	2004	2008	
KF955458.1	10640	0	2007	2013	
EU482501.1	10690	0	2007	2008	
EU569688.1	10648	0	2001	2008	
GQ199850.1	10689	0	2006	2009	
JN406514.1	10707	0	1998	2011	
JF920400.1	10681	0	2009	2011	
EU482761.1	10679	0	2005	2008	
JX286519.1	10540	0	2010	2012	
GU131940.1	10632	0	2007	2009	
EU482515.1	10690	0	2007	2008	
KC762690.1	10709	0	2008	2013	
EU482755.1	10679	0	2005	2008	
FJ898452.1	10679	0	2003	2009	
KF955444.1	10407	0	2007	2013	
KC762680.1	10723	0	2010	2013	
FJ410237.1	10678	0	2008	2008	
KM403619.1	10714	0	2013	2014	
KM403636.1	10714	0	2013	2014	
JQ513341.1	10604	0	2010	2012	
FJ410217.1	10678	0	2007	2008	
EU482759.1	10679	0	2005	2008	
HM181946.1	10524	0	2007	2010	
FJ687427.1	10672	0	2001	2009	
FJ882599.1	10595	0	1999	2009	
FJ182027.1	10690	0	2007	2008	
KU365900.1	10689	0	2014	2015	
FJ182003.1	10690	0	2007	2008	
GQ868543.1	10678	0	1995	2009	
EU081183.1	10705	0	2005	2007	
GQ199859.1	10690	0	2008	2009	
KM403608.1	10714	0	2013	2014	
HM582100.1	10713	0	1971	2010	
GU131945.1	10507	0	2007	2009	
JQ920477.1	10671	0	1993	2012	
FJ687437.1	10678	0	2001	2009	
HQ705618.1	10680	0	2009	2010	
GU131728.1	10472	0	2008	2009	
GQ868553.1	10625	0	1999	2009	
DQ181797.1	10723	0	2001	2005	
EU081232.1	10735	0	2005	2007	
AF514885.3	10735	0	na	2002	
FJ639818.1	10690	0	2006	2009	
FJ024453.1	10684	0	2007	2008	
EU482492.1	10688	0	2007	2008	
AY744682.1	10707	0	na	2004	
FJ882587.1	10554	0	2007	2009	
GU131930.1	10532	0	2008	2009	
FJ639825.1	10648	0	2006	2009	
KC692517.1	10735	0	2010	2013	
EU677152.1	10690	0	2007	2008	
M84727.1	10723	0	na	1989	
KM279579.1	10723	0	2012	2014	
FJ898374.1	10674	0	2007	2009	
FJ547084.1	10648	0	2002	2008	
KC762623.1	10735	0	2007	2013	
JF937636.1	10670	0	2009	2011	
FJ882597.1	10606	0	1998	2009	
FJ547064.1	10679	0	2007	2008	
GQ199774.1	10684	0	2007	2009	
KM279565.1	10723	0	2012	2014	
HQ541788.1	10487	0	2007	2010	
KP398852.1	10735	0	2014	2015	
EU081206.1	10673	0	2005	2007	
FM210246.2	10614	0	2005	2008	
KF704354.1	10176	0	1981	2013	
KM204118.1	10723	0	1944	2014	
DQ401694.1	10707	0	na	2006	
GQ466079.1	10680	0	2008	2009	
GU131856.1	10616	0	2006	2009	
KC762633.1	10735	0	2008	2013	
KC692501.1	10735	0	2009	2013	
FJ024465.1	10648	0	2004	2008	
GU131844.1	10594	0	2006	2009	
KF704358.1	10176	0	1981	2013	
FJ687439.1	10677	0	2001	2009	
KJ189365.1	10798	0	2010	2014	
KJ189293.1	10693	0	2005	2014	
KF955332.1	10688	0	2000	2013	
GU131794.1	10472	0	2008	2009	
EU482449.1	10678	0	2006	2008	
JQ045670.1	10702	0	na	2011	
EU482534.1	10690	0	2006	2008	
FJ639721.1	10648	0	2002	2009	
EU482469.1	10668	0	2006	2008	
GU131768.1	10479	0	2008	2009	
FJ410206.1	10694	0	2007	2008	
FJ906965.1	10676	0	2007	2009	
FJ639701.1	10681	0	2002	2009	
GU131890.1	10476	0	2006	2009	
FJ410275.1	10721	0	2008	2008	
JQ915078.1	10197	0	2004	2012	
JQ287662.1	10904	0	2007	2011	
KC762657.1	10723	0	2008	2013	
GU131873.1	10402	0	2007	2009	
KF921920.1	10215	0	2009	2013	
GU131791.1	10486	0	2008	2009	
GQ398298.1	10723	0	1995	2009	
KJ189282.1	10695	0	2007	2014	
KU513441.1	10650	0	2013	2016	
KF921940.1	10715	1	2008	2013	
FJ547068.1	10675	0	2006	2008	
FJ639735.1	10675	0	1997	2009	
EU482542.1	10678	0	2006	2008	
KC762647.1	10735	0	2010	2013	
EU482826.1	10690	0	2006	2008	
GU131698.1	10418	0	2008	2009	
FJ410260.1	10690	0	2008	2008	
KF921948.1	10834	0	2008	2013	
HM631852.1	10674	0	2006	2010	
KF921936.1	10239	0	2006	2013	
EU660417.1	10678	0	2007	2008	
KP188552.1	10527	0	2012	2014	
KJ596663.1	10649	0	2012	2014	
KX380825.1	10722	0	2013	2016	
GU131955.1	10523	0	2004	2009	
JF730046.1	10477	0	2008	2011	
HM181951.1	10468	0	2007	2010	
FJ410175.1	10690	0	1994	2008	
EU482560.1	10678	0	1998	2008	
HQ332182.1	10735	0	2006	2010	
FM210236.2	10659	0	2004	2008	
GQ199876.1	10595	0	2007	2009	
KT831765.1	10674	0	2014	2015	
GU131707.1	10461	0	2008	2009	
EU660395.1	10690	0	2007	2008	
AB214882.1	10707	42	na	2005	
KJ596673.1	10649	0	2012	2014	
JF937611.1	10444	0	2008	2011	
FJ882556.1	10690	0	2007	2009	
GQ398276.1	10723	0	1994	2009	
AY776329.1	10490	0	na	2004	
KM279607.1	10176	0	2010	2014	
GU131717.1	10470	0	2008	2009	
FJ410218.1	10676	0	2007	2008	
AY496873.2	10707	0	2002	2003	
EU482655.1	10678	0	2006	2008	
AY708047.1	10614	0	na	2004	
AY726555.1	10726	0	na	2004	
JN819418.1	10576	0	1988	2011	
FJ882572.1	10663	0	1989	2009	
KJ160505.1	10707	0	na	2014	
GQ252674.1	10682	0	1997	2009	
KC762659.1	10723	0	2008	2013	
FJ639789.1	10650	0	2004	2009	
FJ639694.1	10684	0	2007	2009	
JN819410.1	10486	0	2005	2011	
FJ898477.1	10678	0	2000	2009	
EU569701.1	10680	0	2007	2008	
EU482641.1	10677	0	2006	2008	
JX669473.1	10736	0	2001	2012	
KF955417.1	10690	397	2006	2013	
JQ045635.1	10692	2	na	2011	
KR071622.1	10715	0	2014	2015	
JQ045646.1	10672	0	na	2011	
GQ868558.1	10679	0	2007	2009	
JX669463.1	10735	0	2010	2012	
JQ513336.1	10604	0	2011	2012	
AF022434.1	10724	0	na	1997	
EU687241.1	10678	0	2003	2008	
FJ639680.1	10690	0	2003	2009	
GU131957.1	10677	0	2006	2009	
EU482667.1	10661	0	2006	2008	
EU482530.1	10690	0	2006	2008	
GU370050.1	10200	0	2007	2009	
EU482722.1	10668	0	2002	2008	
FJ373297.1	10690	0	2007	2008	
EU569720.1	10723	0	1997	2008	
EF105385.1	10724	0	1974	2006	
KJ189367.1	10452	0	2010	2014	
FJ898403.1	10690	0	2006	2009	
KF955407.1	10614	322	2005	2013	
FJ850111.1	10663	0	2007	2009	
KF955399.1	9637	0	2008	2013	
DI191092.1	10723	0	na	2009	
FJ744702.1	10690	0	2006	2009	
KF954949.1	10677	0	2013	2013	
KJ189341.1	10445	0	2009	2014	
EU482481.1	10690	0	2007	2008	
KM403595.1	10714	0	2013	2014	
FJ410194.1	10681	0	2007	2008	
GQ398307.1	10723	0	1994	2009	
EU081261.1	10735	0	2005	2007	
EU687250.1	10668	0	2007	2008	
DQ193572.1	10735	0	na	2005	
KM279544.1	10723	0	2012	2014	
FJ024462.1	10690	0	2007	2008	
JX024757.1	10653	0	2010	2012	
EU920830.1	10717	0	1998	2008	
EU482702.1	10678	0	2007	2008	
KM403581.1	10714	0	2013	2014	
FJ882562.1	10676	0	2003	2009	
KF955487.1	10638	0	2001	2013	
FJ898397.1	10680	0	2006	2009	
GU131833.1	10610	0	2000	2009	
FJ432744.1	10690	0	2007	2008	
KM403618.1	10714	0	2013	2014	
KP723482.1	10653	0	2010	2015	
DQ675522.1	10707	0	1998	2006	
KJ189289.1	10692	0	2008	2014	
GQ868526.1	10675	0	2007	2009	
EU677167.1	10690	0	2007	2008	
JN796245.1	10488	0	2008	2011	
KF971704.1	10053	2253	2009	2013	
FJ639675.1	10684	0	2003	2009	
AB214879.1	10707	42	na	2005	
DI401605.1	10735	0	na	2014	
FJ898387.1	10654	0	2005	2009	
EU596483.1	10680	0	2006	2008	
KF955506.1	9708	0	2007	2013	
FJ639819.1	10684	0	2006	2009	
KJ189260.1	10692	0	2002	2014	
GQ868504.1	10684	0	2007	2009	
FJ639828.1	10670	0	2001	2009	
EU726774.1	10648	0	1999	2008	
GQ398273.1	10723	0	1994	2009	
EU677171.1	10690	0	2007	2008	
FJ850098.1	10650	0	2001	2009	
GQ868582.1	10606	0	2001	2009	
KX380826.1	10720	0	2013	2016	
KC762676.1	10723	0	2007	2013	
FJ744712.1	10678	0	2001	2009	
EU482587.1	10678	0	1990	2008	
GU131777.1	10478	0	2008	2009	
HE795086.1	10179	0	2008	2012	
KF973479.1	10569	0	2012	2013	
EU482563.1	10648	0	1998	2008	
KF973485.1	10604	0	2011	2013	
JF937616.1	10431	0	2008	2011	
AF022441.1	10723	0	na	1997	
FJ024430.1	10690	0	2007	2008	
EU081213.1	10707	0	2005	2007	
AY876494.1	10707	0	1994	2005	
GU289913.1	10649	0	1982	2009	
EU482597.1	10679	0	2005	2008	
FJ898375.1	10690	0	2007	2009	
EU482805.1	10690	0	2006	2008	
DQ675528.1	10707	0	1998	2006	
EU687197.1	10659	0	2003	2008	
JN851126.1	10176	0	2005	2011	
JQ922552.1	10675	0	1960	2012	
FJ410251.1	10690	0	2008	2008	
FJ850087.1	10690	0	2006	2009	
GU131766.1	10486	0	2008	2009	
EU482507.1	10690	0	2007	2008	
AF169681.1	10723	0	na	1999	
FJ898372.1	10690	0	2007	2009	
GQ199837.1	10684	0	2005	2009	
GU131679.1	10468	0	2008	2009	
FJ639740.1	10684	0	1998	2009	
EU596493.1	10648	0	2007	2008	
GQ398267.1	10723	0	2007	2009	
KJ734727.1	10723	0	2014	2014	
HM469966.1	10735	0	2007	2010	
EU482752.1	10679	0	2005	2008	
FJ639811.1	10684	0	2005	2009	
KJ189312.1	10444	0	2008	2014	
AB214881.1	10707	42	na	2005	
FJ024485.1	10690	0	2005	2008	
KM403630.1	10714	0	2013	2014	
EU482604.1	10678	0	2007	2008	
KF955371.1	10391	0	1994	2013	
KC333651.1	10574	0	2012	2012	
EU482664.1	10678	0	2006	2008	
FJ639762.1	10651	0	2001	2009	
FJ882521.1	10690	0	2006	2009	
KF955420.1	10669	310	2007	2013	
EU529701.1	10678	0	1991	2008	
JF920393.1	10681	0	2009	2011	
KF955400.1	9882	0	2005	2013	
EU482636.1	10679	0	2005	2008	
EU529690.1	10648	0	2001	2008	
FJ850065.1	10679	0	2000	2009	
KF973463.1	10608	0	2012	2013	
AF169684.1	10723	0	na	1999	
AF100463.1	10685	0	na	1998	
EU482639.1	10679	0	2006	2008	
JX475906.1	10670	0	2009	2012	
FJ205883.1	10690	0	2007	2008	
KX380807.1	10722	0	2012	2016	
GQ199791.1	10690	0	2007	2009	
FJ196845.1	10735	0	1991	2008	
EU569692.1	10674	0	2007	2008	
FJ898432.1	10443	0	2007	2009	
FJ744737.1	10661	0	2001	2009	
KT726357.1	10663	0	2001	2015	
KJ189346.1	10442	0	2009	2014	
FJ461332.1	10690	0	2008	2008	
FJ205877.1	10677	0	2007	2008	
GQ199883.1	10606	0	1996	2009	
JQ045694.1	10665	0	na	2011	
JX286521.1	10597	0	2010	2012	
KF041234.1	10723	0	2011	2013	
FJ182007.1	10648	0	2005	2008	
EU081276.1	10735	0	2005	2007	
KT187560.1	10714	0	2014	2015	
FJ810417.1	10606	0	1995	2009	
FJ744727.1	10665	0	2001	2009	
EU482705.1	10678	0	2007	2008	
FM210239.2	10672	0	2004	2008	
GQ398255.1	10735	0	2008	2009	
EU280167.1	10735	0	na	2007	
EU687248.1	10678	0	2007	2008	
EU081240.1	10735	0	2005	2007	
GU131694.1	10468	0	2008	2009	
JQ287660.1	10766	0	2006	2011	
HM582104.1	10713	0	1972	2010	
FJ898428.1	10691	0	2006	2009	
FJ744745.1	10679	0	2000	2009	
KF955449.1	10421	0	na	2013	
EU677156.1	10690	0	2007	2008	
GU131949.1	10486	0	2006	2009	
KP406801.1	10736	0	2004	2015	
FJ182017.1	10606	0	2007	2008	
FJ898438.1	10665	0	2002	2009	
FJ744739.1	10630	0	2001	2009	
EU482464.1	10678	0	2006	2008	
JQ920489.1	10671	0	1995	2012	
EU920847.1	10644	0	2006	2008	
AY858039.2	10707	0	na	2004	
EU529685.1	10648	0	2001	2008	
JF937635.1	10465	0	2009	2011	
KP188550.1	10708	0	2008	2014	
FJ024457.1	10690	0	2007	2008	
AB608789.1	10677	0	1994	2011	
KC294201.1	10723	0	2009	2012	
GQ868573.1	10644	0	2003	2009	
HM181941.1	10663	0	2006	2010	
JX669486.1	10724	0	1999	2012	
EU482598.1	10679	0	2005	2008	
EU854301.1	10606	0	2007	2008	
KF955460.1	10640	0	2008	2013	
EU687225.1	10678	0	2000	2008	
KM279533.1	10723	0	2012	2014	
FJ024433.1	10690	0	2007	2008	
GU131934.1	10659	0	2007	2009	
FJ639821.1	10684	0	2006	2009	
FJ639801.1	10648	0	2004	2009	
FJ898379.1	10674	0	2007	2009	
GU131914.1	10619	0	2007	2009	
FJ024481.1	10690	0	2005	2008	
DQ675523.1	10707	0	1998	2006	
GQ868498.1	10684	0	2006	2009	
FJ547060.1	10684	0	2007	2008	
JQ045686.1	10702	0	na	2011	
GU131692.1	10482	0	2008	2009	
KC762637.1	10735	0	2007	2013	
JF937631.1	10583	0	2009	2011	
EU687231.1	10678	0	2001	2008	
EU687240.1	10678	0	2003	2008	
FJ639710.1	10658	0	2005	2009	
JQ915074.1	10699	0	2008	2012	
GQ252676.1	10629	0	2003	2009	
HM181945.1	10685	0	2007	2010	
EU482543.1	10668	0	2006	2008	
AF514883.2	10735	0	na	2002	
FM210206.1	10691	0	2005	2008	
GQ199834.1	10677	0	2005	2009	
KR779782.1	10723	0	2007	2015	
KM279529.1	10700	0	2012	2014	
GU131848.1	10525	0	2006	2009	
AB519681.1	10735	0	2001	2009	
GQ199800.1	10690	0	2007	2009	
AY858049.1	10114	0	na	2004	
JQ045654.1	10669	0	na	2011	
KM279587.1	10723	0	2012	2014	
FJ024441.1	10690	0	2007	2008	
KJ189297.1	10692	0	2006	2014	
EU687217.1	10678	0	2005	2008	
FJ639705.1	10678	0	2003	2009	
HQ332172.1	10649	0	2007	2010	
EU660413.1	10678	0	2007	2008	
GQ868605.1	10690	0	2006	2009	
EU482518.1	10690	0	2006	2008	
GU131893.1	10478	0	2007	2009	
FJ547083.1	10649	0	2002	2008	
EU482546.1	10678	0	1998	2008	
AF276619.1	10723	0	na	2000	
GQ398296.1	10723	0	1994	2009	
AF311956.1	10735	0	na	2000	
FJ639765.1	10648	0	2001	2009	
KM279597.1	10723	0	2012	2014	
FJ882536.1	10690	0	2006	2009	
KF921944.1	10186	0	2008	2013	
GU131780.1	10475	0	2008	2009	
EU081225.1	10707	0	2005	2007	
HM181949.1	10683	0	2007	2010	
KM403605.1	10714	0	2013	2014	
HM181955.1	10468	0	2007	2010	
EU482680.1	10680	0	2005	2008	
KC762683.1	10707	0	2007	2013	
KC172835.1	10641	0	2008	2012	
GU131703.1	10467	0	2008	2009	
KF704357.1	10176	0	1981	2013	
GU131727.1	10486	0	2008	2009	
KM279589.1	10675	0	2012	2014	
KM279603.1	10176	0	2007	2014	
DQ675529.1	10707	0	1998	2006	
KM403611.1	10714	0	2013	2014	
FJ810418.1	10677	0	2008	2009	
JF937648.1	10680	0	2010	2011	
KU365903.1	10638	0	2015	2015	
KF041237.1	10723	0	2009	2013	
GU131874.1	10525	0	2007	2009	
KJ579241.1	10649	0	2012	2014	
GQ199786.1	10690	0	2007	2009	
KF744407.1	10176	0	1996	2013	
GU131682.1	10486	0	2008	2009	
JN851127.1	10176	0	2004	2011	
FJ898463.1	10660	0	2001	2009	
EU854291.1	10648	0	2004	2008	
FJ882560.1	10690	0	2007	2009	
FJ639787.1	10648	0	2004	2009	
GQ398266.1	10723	0	2007	2009	
FJ882538.1	10690	0	2006	2009	
EU482744.1	10677	0	1989	2008	
GU131810.1	10474	0	2008	2009	
GU131765.1	10485	0	2008	2009	
FJ639742.1	10593	0	1999	2009	
FJ639799.1	10653	0	2004	2009	
KJ189307.1	10445	0	2011	2014	
FJ182030.1	10690	0	2007	2008	
EU482753.1	10677	0	2005	2008	
JF937620.1	10681	0	2010	2011	
HM582103.1	10713	0	1972	2010	
FJ898473.1	10663	0	2003	2009	
FJ182010.1	10648	0	2005	2008	
GU131942.1	10633	0	2007	2009	
FJ390380.1	10690	0	1998	2008	
GQ199868.1	10679	0	2007	2009	
FJ432743.1	10648	0	2007	2008	
EU081223.1	10706	0	2005	2007	
EU482486.1	10690	0	2007	2008	
LC011947.1	10693	0	2014	2014	
FJ390388.1	10690	0	2007	2008	
FJ024468.1	10648	0	2004	2008	
EU529683.1	10649	0	2007	2008	
GQ868554.1	10628	0	2004	2009	
KF955441.1	10600	0	2007	2013	
GU131974.1	10667	0	2007	2009	
HM631862.1	10539	0	2009	2010	
HQ891313.1	10734	0	2009	2010	
JF937624.1	10681	0	2010	2011	
JQ045691.1	10665	0	na	2011	
KM279543.1	10723	0	2012	2014	
KT187563.1	10714	0	2014	2015	
FJ562105.1	10690	0	1993	2008	
KF955395.1	10649	0	2007	2013	
EU081196.1	10675	0	2005	2007	
EF105383.1	10700	0	1980	2006	
GQ199773.1	10676	0	2007	2009	
GQ398313.1	10723	0	1994	2009	
EU081205.1	10675	0	2005	2007	
JQ045685.1	10691	0	na	2011	
EU596485.1	10678	0	1996	2008	
FJ410190.1	10684	0	1987	2008	
KM403591.1	10714	0	2013	2014	
KM279576.1	10723	0	2012	2014	
JQ915077.1	10699	0	2002	2012	
FJ882582.1	10603	0	2007	2009	
JX286524.1	10587	0	2010	2012	
EU482485.1	10690	0	2007	2008	
GU131843.1	10657	0	1986	2009	
KM279548.1	10723	0	2012	2014	
FJ024466.1	10650	0	2004	2008	
KC692512.1	10735	0	2010	2013	
EU920834.1	10676	0	2001	2008	
KJ189290.1	10692	0	2008	2014	
FJ547081.1	10648	0	2001	2008	
AY496871.2	10707	0	2002	2003	
JQ045677.1	10617	0	na	2011	
KM279540.1	10723	0	2012	2014	
EU660398.1	10639	0	1989	2008	
EU687214.1	10678	0	2004	2008	
GQ868522.1	10675	0	2007	2009	
GU131853.1	10525	0	2006	2009	
KM279560.1	10723	0	2012	2014	
FJ906962.1	10678	0	2005	2009	
GU131870.1	10525	0	2007	2009	
KX380840.1	10674	0	2012	2016	
HQ891315.1	10735	0	2009	2010	
EU687246.1	10679	0	1994	2008	
KJ189285.1	10692	0	2008	2014	
EU482545.1	10678	0	1998	2008	
FJ639724.1	10648	0	2003	2009	
FJ639699.1	10680	0	2002	2009	
HM181940.1	10473	0	2006	2010	
GQ398297.1	10723	0	1994	2009	
GQ398283.1	10722	0	1994	2009	
EU482577.1	10678	0	1987	2008	
KF973461.1	10580	0	2012	2013	
AF100461.1	10685	0	na	1998	
EU482681.1	10678	0	2005	2008	
GQ868629.1	10660	0	2005	2009	
KX380822.1	10722	0	2012	2016	
FJ373303.1	10648	0	2001	2008	
AB189128.1	10707	0	na	2004	
GU131708.1	10472	0	2008	2009	
FJ024480.1	10690	0	2005	2008	
AY858046.2	10707	0	na	2004	
KJ189255.1	10693	486	2002	2014	
FJ850080.1	10663	0	2003	2009	
EU596500.1	10680	0	2007	2008	
KF921925.1	9613	0	2010	2013	
AY722802.1	10614	0	na	2004	
GU131700.1	10418	0	2008	2009	
KX380814.1	10677	0	2012	2016	
KF921939.1	10291	0	2008	2013	
KM279600.1	10723	0	2012	2014	
EU920828.1	10663	0	1993	2008	
JF808124.1	10699	0	2003	2011	
EF457904.1	10724	0	1999	2007	
JF937600.1	10444	0	2008	2011	
FJ882546.1	10681	0	2007	2009	
HM631857.1	10539	0	2009	2010	
JQ045664.1	10670	0	na	2011	
JF937630.1	10381	0	2009	2011	
JF937608.1	10443	0	2008	2011	
EU482821.1	10690	0	2006	2008	
GU131762.1	10409	0	2008	2009	
EU249491.1	10690	0	2006	2007	
FJ898478.1	10679	0	2000	2009	
KC762668.1	10723	0	2008	2013	
EU482646.1	10660	0	2006	2008	
KM279592.1	10723	0	2012	2014	
KR024707.1	10703	0	2014	2015	
EU081190.1	10706	0	2005	2007	
JQ922548.1	10699	0	2005	2012	
GQ199818.1	10690	0	2007	2009	
JN000935.1	10460	0	2008	2011	
HQ541804.1	10264	0	2009	2010	
GU131754.1	10482	0	2008	2009	
FJ547082.1	10648	0	2001	2008	
FJ390383.1	10713	0	2007	2008	
FJ850108.1	10664	0	2008	2009	
EU482616.1	10756	0	2005	2008	
AF169688.1	10723	0	na	1999	
KF955369.1	10651	0	2007	2013	
AF311957.1	10735	0	na	2000	
FJ390377.1	10650	0	1999	2008	
EU569704.1	10668	0	1986	2008	
EU482660.1	10666	0	2006	2008	
FJ639683.1	10674	0	2005	2009	
FJ196852.1	10723	0	2001	2008	
FJ898418.1	10683	0	2006	2009	
FJ850088.1	10667	0	2006	2009	
KF360005.1	10629	0	2010	2013	
EU482559.1	10648	0	1998	2008	
JX669484.1	10723	0	1998	2012	
DI191091.1	10735	0	na	2009	
KF955464.1	10525	0	2007	2013	
JX669466.1	10737	0	2010	2012	
GU131983.1	10690	0	2008	2009	
EU482701.1	10678	0	2007	2008	
GQ398310.1	10724	0	1994	2009	
EU482690.1	10680	0	2006	2008	
KX380835.1	10696	0	2013	2016	
EU482482.1	10690	0	2007	2008	
FJ410193.1	10666	0	2007	2008	
GQ199871.1	10637	0	2008	2009	
GQ199887.1	10663	0	1983	2009	
GU131818.1	10467	0	2008	2009	
FJ744723.1	10671	0	2001	2009	
FJ898406.1	10690	0	2006	2009	
GU131838.1	10468	0	2006	2009	
JF937621.1	10676	0	2010	2011	
EU056810.1	10723	0	1983	2007	
KJ737429.1	10707	0	1994	2014	
GU318306.1	10500	6486	na	2009	
EU081244.1	10735	0	2005	2007	
GQ868521.1	10690	0	2007	2009	
EU482729.1	10678	0	1999	2008	
EU482787.1	10678	0	2003	2008	
FJ687448.1	10629	0	2001	2009	
FJ898424.1	10690	0	2006	2009	
FJ432738.1	10689	0	2007	2008	
JQ045634.1	10699	0	na	2011	
KJ189358.1	10444	0	2012	2014	
KF955505.1	10653	0	2002	2013	
FJ639810.1	10648	0	2005	2009	
KJ010185.1	10629	0	2011	2013	
GQ868513.1	10684	0	2007	2009	
EU726767.1	10678	0	1994	2008	
FJ410272.1	10690	0	2008	2008	
FJ898392.1	10690	0	2005	2009	
FJ410182.1	10690	0	1996	2008	
HQ541798.1	10507	0	2009	2010	
EU726777.1	10690	0	2007	2008	
GQ868503.1	10676	0	2007	2009	
GU131802.1	10486	0	2008	2009	
EU482797.1	10690	0	2006	2008	
FJ410189.1	10690	0	1996	2008	
KM403588.1	10714	0	2013	2014	
FJ850086.1	10652	0	2005	2009	
KM217158.1	10656	0	2013	2014	
GQ199891.1	10663	0	2001	2009	
KC294205.1	10723	0	2011	2012	
EU677162.1	10691	0	2007	2008	
FJ432747.1	10690	0	2007	2008	
JF937625.1	10683	0	2010	2011	
GU131910.1	10623	0	2006	2009	
KF744397.1	10176	0	2001	2013	
GQ868538.1	10690	0	2008	2009	
JN000938.1	10685	0	2010	2011	
EU482806.1	10690	0	2006	2008	
EU677140.1	10690	0	2007	2008	
EU482789.1	10690	0	2003	2008	
GU131918.1	10497	0	2007	2009	
EU687235.1	10677	0	2003	2008	
GQ868595.1	10678	0	1991	2009	
LC128301.1	10693	0	2016	2016	
FJ744701.1	10641	0	2004	2009	
KP723476.1	10628	0	2014	2015	
KF973457.1	10615	0	2012	2013	
KU725663.1	10723	0	na	2016	
GU131680.1	10462	0	2008	2009	
FJ373304.1	10653	0	2004	2008	
EU677148.1	10678	0	2007	2008	
EU482724.1	10678	0	2005	2008	
KP188546.1	10663	0	2013	2014	
EU569713.1	10677	0	1997	2008	
JX966380.1	10712	0	1969	2012	
EU726769.1	10648	0	2003	2008	
FJ639761.1	10648	0	2001	2009	
KJ189305.1	10478	0	2000	2014	
FJ639753.1	10647	0	2001	2009	
KJ189311.1	10715	0	2007	2014	
AY744677.1	10707	0	na	2004	
KF973464.1	10608	0	2012	2013	
EU726781.1	10690	0	2007	2008	
GQ199822.1	10690	0	2007	2009	
JQ045650.1	10669	0	na	2011	
JQ045630.1	10670	0	na	2011	
KF955372.1	10646	0	1997	2013	
KF672760.1	10176	0	2011	2013	
JN000937.1	10398	0	2010	2011	
EU482720.1	10678	0	2006	2008	
KJ468234.1	10622	0	2013	2014	
FM210241.2	10611	0	2004	2008	
FJ410289.1	10679	0	2007	2008	
HM181944.1	10482	0	2007	2010	
EF025110.1	10735	0	na	2006	
KF744399.1	10176	0	1998	2013	
GQ199811.1	10690	0	2007	2009	
FJ850101.1	10690	0	2007	2009	
EU482621.1	10680	0	2007	2008	
EU482601.1	10680	0	2007	2008	
HM582109.1	10681	0	1971	2010	
KP188548.1	10647	0	2013	2014	
KM403601.1	10648	0	2013	2014	
KF955439.1	9873	0	1995	2013	
KC762671.1	10723	0	2008	2013	
KC762687.1	10707	0	2008	2013	
FJ850056.1	10649	0	2004	2009	
KC172831.1	9823	0	2008	2012	
FJ461331.1	10690	0	2008	2008	
KT726350.1	10663	0	2001	2015	
FJ410228.1	10678	0	2007	2008	
HM181971.1	10531	0	2008	2010	
KM403629.1	10637	0	2013	2014	
HM582115.1	10713	0	1974	2010	
